fecha,sesion,worktree,modelo,tokens_in,tokens_out,cache_write_5m,cache_write_1h,cache_read,coste_usd_sombra,turnos,price_table_date
2026-08-13,1ddabf8a-fa05-4b4e-b783-8dfb6a7a5a71,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/bearing-mvp-bootstrap-3bc0fc,claude-sonnet-5,912,382799,0,1191842,71954572,22.988096,417,2026-08-28
2026-08-14,bd3182c0-837e-4a73-a1ae-a36454bc6586,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/bearing-io-mvp-estado-f2911a,claude-opus-5,5973,304420,0,1639411,60978165,54.523557,292,2026-08-28
2026-08-16,575aef8e-da3c-4949-a43b-8a2fd61b9de2,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/bearing-mvp-bootstrap-3bc0fc,claude-opus-5,712,471148,0,1025943,79651807,61.867593,357,2026-08-28
2026-08-16,5d103e51-c540-4f5a-8f6d-3c5732877da2,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/dia-14-correcciones-mvp-8160b9,claude-opus-5,2104,388580,0,839495,61093165,48.666553,327,2026-08-28
2026-08-17,eeec4d04-366d-453d-9484-4f0ea178a71d,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/bearing-io-mvp-estado-f2911a,claude-opus-5,1294,618208,0,3469205,130677132,115.492286,561,2026-08-28
2026-08-18,ab73ecec-378f-40ee-92be-f25c36888a9f,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/bearing-mvp-bootstrap-3bc0fc,claude-opus-5,82,23337,0,104196,3016763,3.134177,43,2026-08-28
2026-08-22,1ac78c7b-4653-41f3-9159-8128788a9a91,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/bearing-io-mvp-estado-f2911a,claude-sonnet-5,72,12767,0,196706,2607050,1.436048,36,2026-08-28
2026-08-24,c74812b6-ad3c-49cb-9a2a-8cfaeeafa63f,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/dia-14-correcciones-mvp-8160b9,claude-sonnet-5,248,160712,0,427775,16911880,6.701092,124,2026-08-28
2026-08-25,6d222cfd-c958-4d35-ae22-c79c9db12eab,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/bearing-mvp-bootstrap-3bc0fc,claude-sonnet-5,624,332509,0,1046719,76005726,22.714359,312,2026-08-28
2026-08-28,12839c0c-9652-4a2e-ade7-869c938fbcc4,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/bearing-io-mvp-estado-f2911a,claude-opus-5,1386,717638,0,2812243,208814808,150.477714,693,2026-08-28
2026-08-30,2c495ae0-f64d-4e53-b12c-2480c54b4246,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/v1/.claude/worktrees/sweet-mayer-f17466,claude-opus-5,578,251826,0,487580,53394581,37.87163,289,2026-08-28
2026-08-30,47de4098-fd6e-4ae1-8175-d68d728f5c43,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/v1/.claude/worktrees/dia-4-f131-pending-003608,claude-opus-5,726,294514,0,580309,72557940,49.44854,363,2026-08-28
2026-08-31,6e0ceba5-787e-4704-98ce-49b421824175,C:/Users/admin/proyectos/Bearing.io/BearingWorld.io/openspec/mvp/.claude/worktrees/bearing-io-mvp-estado-f2911a,claude-sonnet-5,562,245429,0,851551,51788157,16.219249,281,2026-08-28
